ticker,snapshot_utc,sector,industry,country,price,change_pct,pe,forward_pe,peg,eps_growth_this_year_pct,eps_next_year,eps_next_5y_pct,sales_yoy_ttm_pct,eps_qoq_pct,sales_qoq_pct,roe_pct,roic_pct,gross_margin_pct,oper_margin_pct,profit_margin_pct,debt_to_equity,lt_debt_to_equity,current_ratio,quick_ratio,short_float_pct,short_ratio,insider_own_pct,insider_trans_pct,institutional_own_pct,institutional_trans_pct,perf_week_pct,perf_month_pct,sma20_pct,sma50_pct,sma200_pct,rsi_14,52w_high_price,52w_high_distance_pct,52w_low_price,52w_low_distance_pct
IBM,2025-09-27T23:05:07.727102+00:00,Technology,Information Technology Services,USA,284.31,1.02,46.12,23.75,6.45,8.16,11.97,7.15,2.69,17.91,7.65,22.73,6.83,56.94,18.53,9.11,2.46,2.11,0.88,0.84,1.57,2.98,0.1,0.0,63.96,0.06,6.72,16.12,9.59,11.54,12.7,75.04,296.16,-4.0,203.51,39.7
IP,2025-09-27T23:05:07.727102+00:00,Consumer Cyclical,Packaging & Containers,USA,45.32,0.0,,14.64,,51.41,3.1,52.51,18.13,-90.03,42.94,-0.2,-0.09,21.08,2.48,-0.12,0.69,0.66,1.33,0.96,9.57,11.78,0.97,-0.32,98.57,4.68,-2.39,-6.31,-3.47,-6.4,-10.45,37.05,60.36,-24.92,43.27,4.74
IPG,2025-09-27T23:05:07.727102+00:00,Communication Services,Advertising Agencies,USA,26.35,1.62,22.32,8.36,3.31,6.94,3.15,6.75,-5.16,-22.48,-6.39,11.7,5.8,15.48,14.02,4.27,1.13,1.05,1.07,1.07,6.02,3.47,0.44,0.0,98.77,-4.5,2.73,-2.12,0.0,1.56,1.04,52.19,33.05,-20.27,22.51,17.06
IFF,2025-09-27T23:05:07.727102+00:00,Basic Materials,Specialty Chemicals,USA,60.72,0.7,,13.42,,-1.37,4.53,5.12,-0.07,258.58,-4.33,-2.74,-1.9,31.12,10.07,-3.48,0.48,0.43,1.85,1.1,1.77,2.1,1.63,1.82,94.98,0.24,-4.42,-9.07,-5.62,-9.86,-20.55,30.49,106.77,-43.13,60.13,0.98
INTU,2025-09-27T23:05:07.727102+00:00,Technology,Software - Application,USA,698.26,0.81,50.93,26.46,3.52,14.86,26.39,14.45,15.63,1992.3,20.32,20.29,14.72,77.01,26.22,20.55,0.34,0.33,1.36,1.36,1.71,2.48,2.34,-4.14,87.0,1.49,1.5,5.29,3.76,-1.9,4.89,56.36,813.7,-14.19,532.65,31.09
ISRG,2025-09-27T23:05:07.727102+00:00,Healthcare,Medical Instruments & Supplies,USA,441.12,0.68,61.56,47.63,4.52,11.18,9.26,13.63,20.77,23.89,21.4,16.02,14.61,66.61,28.8,28.51,0.0,0.0,5.17,4.18,1.6,2.65,0.62,-2.85,86.09,0.01,0.55,-6.37,-1.87,-6.21,-15.15,40.68,616.0,-28.39,425.0,3.79
IVZ,2025-09-27T23:05:07.727102+00:00,Financial,Asset Management,USA,22.72,1.61,24.4,9.97,1.67,4.84,2.28,14.61,6.79,-109.52,3.76,5.74,1.88,64.2,15.32,6.86,0.62,0.62,1.04,1.04,3.05,2.37,0.8,-2.81,92.42,1.16,1.02,3.04,2.21,5.22,30.53,63.82,22.99,-1.15,11.6,95.86
IPGP,2025-09-27T23:05:07.727102+00:00,Technology,Semiconductor Equipment & Materials,USA,80.45,1.48,,54.11,,118.09,1.49,,-14.77,-65.36,-2.69,-9.89,-10.18,33.81,-0.71,-22.77,0.01,0.01,6.79,5.39,9.69,10.12,42.51,-0.83,68.89,9.81,-1.17,-3.8,-1.16,1.56,15.27,49.83,88.5,-9.1,48.59,65.57
IQV,2025-09-27T23:05:07.727102+00:00,Healthcare,Diagnostics & Research,USA,179.56,1.62,26.01,13.95,3.09,6.61,12.87,8.43,3.53,-22.02,5.27,19.8,6.13,27.09,14.4,7.88,2.72,2.49,0.84,0.84,2.77,2.83,0.86,-0.43,101.07,5.12,-4.09,-4.89,-3.43,-3.65,1.4,42.38,237.34,-24.34,134.65,33.36
IRM,2025-09-27T23:05:07.727102+00:00,Real Estate,REIT - Specialty,USA,100.93,0.13,735.11,43.48,53.58,15.22,2.32,13.72,10.72,-225.7,11.57,5995.19,0.25,41.27,19.39,0.64,,,0.63,0.63,2.96,5.67,0.8,-17.29,85.59,1.62,1.04,9.86,3.68,5.69,4.51,59.03,130.24,-22.5,72.33,39.54
PLD,2025-09-27T23:05:34.293784+00:00,Real Estate,REIT - Industrial,USA,114.19,0.87,31.11,39.05,,-35.15,2.92,-5.68,10.2,-32.31,8.76,6.5,4.01,44.8,41.38,40.22,0.67,0.63,0.35,0.35,1.27,3.03,0.27,-1.0,96.43,2.03,0.6,1.34,0.68,3.58,3.94,55.92,127.65,-10.54,85.35,33.79
PRU,2025-09-27T23:05:34.293784+00:00,Financial,Insurance - Life,USA,104.41,1.74,23.1,7.09,2.95,9.18,14.73,7.84,-1.8,-54.79,-7.77,5.57,3.16,,3.49,2.72,0.98,0.67,2.32,,1.74,3.77,0.21,,61.06,-1.08,0.79,-4.62,-0.77,-0.7,-3.76,47.93,130.55,-20.02,90.38,15.52
PEG,2025-09-27T23:05:34.293784+00:00,Utilities,Utilities - Regulated Electric,USA,82.3,1.76,20.78,18.73,2.45,9.16,4.39,8.48,13.73,34.79,17.02,12.19,5.15,24.72,24.72,17.69,1.41,1.31,1.0,0.76,1.57,3.03,0.15,-0.73,76.39,0.33,0.86,-0.65,0.86,-2.41,-0.69,49.62,95.22,-13.57,74.67,10.22
PSA,2025-09-27T23:05:34.293784+00:00,Real Estate,REIT - Industrial,USA,286.29,2.15,31.24,27.49,20.28,-14.89,10.41,1.54,2.49,-34.0,2.38,18.99,8.43,49.08,46.71,33.95,1.11,1.04,1.73,1.73,1.83,3.37,10.2,0.0,81.86,-0.18,2.61,-1.68,-0.47,0.04,-2.99,50.34,369.99,-22.62,256.6,11.57
PHM,2025-09-27T23:05:34.293784+00:00,Consumer Cyclical,Residential Construction,USA,131.15,1.87,9.8,11.38,,-22.56,11.53,-3.29,5.04,-20.86,-4.26,23.05,19.16,27.76,19.92,15.5,0.18,0.14,5.15,0.45,3.33,2.98,0.65,-1.74,95.36,-0.57,-0.57,0.09,-2.27,3.22,17.9,50.01,149.47,-12.26,88.07,48.92
PVH,2025-09-27T23:05:34.293784+00:00,Consumer Cyclical,Apparel Manufacturing,USA,86.78,1.21,9.73,7.23,2.26,-7.13,12.0,4.3,-1.14,65.3,4.48,9.32,5.32,57.92,6.98,5.34,0.88,0.81,1.37,0.63,12.06,4.73,0.97,3.61,113.03,0.44,0.29,6.18,1.87,8.83,8.96,57.39,113.47,-23.52,59.28,46.39
QRVO,2025-09-27T23:05:34.293784+00:00,Technology,Semiconductors,USA,93.02,-0.36,108.57,13.31,8.47,6.12,6.99,12.82,-8.84,6246.51,-7.66,2.33,1.62,42.24,6.96,2.21,0.45,0.45,2.81,2.01,4.02,1.89,0.87,-3.48,101.54,0.45,1.32,1.21,2.38,4.3,18.61,57.33,107.33,-13.33,49.46,88.07
PWR,2025-09-27T23:05:34.293784+00:00,Industrials,Engineering & Construction,USA,405.44,1.26,62.88,32.78,3.73,17.83,12.37,16.87,18.26,20.92,21.07,13.47,7.61,13.31,5.78,3.73,0.65,0.63,1.37,1.32,3.22,4.25,1.1,0.0,95.24,62.72,4.34,6.26,5.3,4.22,21.86,62.4,424.94,-4.59,227.08,78.55
QCOM,2025-09-27T23:05:34.293784+00:00,Technology,Semiconductors,USA,169.2,-0.28,16.32,13.83,1.98,16.38,12.23,8.24,15.82,29.21,10.35,44.62,27.57,55.68,28.09,26.77,0.54,0.54,3.19,2.14,1.97,2.67,0.1,-2.31,81.72,3.74,1.41,5.9,3.33,6.72,8.34,62.65,182.1,-7.08,120.8,40.06
DGX,2025-09-27T23:05:34.293784+00:00,Healthcare,Diagnostics & Research,USA,188.99,1.94,22.6,18.26,2.89,9.15,10.35,7.83,12.58,22.15,15.19,13.65,7.3,31.84,14.41,8.98,0.88,0.79,1.09,0.99,3.97,4.51,0.49,-14.97,98.23,3.84,2.94,5.13,3.33,5.99,10.96,66.02,187.96,0.55,146.17,29.29
RL,2025-09-27T23:05:34.293784+00:00,Consumer Cyclical,Apparel Manufacturing,USA,311.97,3.0,24.9,19.21,1.78,20.67,16.24,13.98,9.61,35.12,13.68,32.55,15.6,65.83,14.48,10.91,1.29,1.02,1.84,1.3,3.47,1.98,38.07,-1.25,64.55,-1.6,-0.15,5.88,0.23,3.76,19.26,54.73,321.77,-3.05,176.61,76.64
RJF,2025-09-27T23:05:34.293784+00:00,Financial,Asset Management,USA,175.69,2.21,17.24,15.01,1.78,3.09,11.71,9.69,9.42,-8.28,4.0,18.16,13.54,86.05,18.3,13.49,0.35,0.28,1.97,1.97,3.51,5.94,9.96,-0.05,78.51,-0.53,0.94,4.61,3.16,5.08,13.46,62.69,177.66,-1.11,117.57,49.44
RTX,2025-09-27T23:05:34.293784+00:00,Industrials,Aerospace & Defense,USA,163.35,1.77,35.89,24.59,3.91,3.95,6.64,9.18,15.44,1379.81,9.43,10.13,6.01,20.05,9.43,7.35,0.7,0.64,1.01,0.75,1.11,3.38,0.08,-6.75,82.89,0.62,3.23,2.2,3.31,4.19,19.51,65.99,163.03,0.2,112.27,45.5
O,2025-09-27T23:05:34.293784+00:00,Real Estate,REIT - Retail,USA,60.32,0.89,58.85,40.11,3.17,28.8,1.5,18.55,15.45,-26.11,4.83,2.35,1.32,47.68,45.61,16.57,0.78,0.75,2.24,2.24,4.25,7.24,0.13,0.0,79.17,1.65,1.96,3.02,1.59,3.31,6.79,61.15,64.7,-6.77,50.71,18.95
REG,2025-09-27T23:05:34.293784+00:00,Real Estate,REIT - Retail,USA,71.52,0.63,33.36,29.78,5.25,8.55,2.4,6.35,5.66,4.46,6.49,5.99,3.3,44.16,36.85,26.06,0.81,0.77,1.22,1.22,3.03,4.64,0.73,-0.16,103.44,-0.21,1.78,-1.31,-0.2,-0.17,-0.71,50.6,78.18,-8.52,63.44,12.74
REGN,2025-09-27T23:05:34.293784+00:00,Healthcare,Biotechnology,USA,563.9,1.51,14.21,14.03,10.93,-13.59,40.2,1.3,5.38,3.24,3.62,15.34,13.66,81.98,27.83,31.37,0.09,0.09,4.6,3.72,2.92,2.99,3.64,0.0,85.47,-4.37,-4.75,-3.93,-1.47,-0.9,-8.02,46.72,1070.0,-47.3,476.49,18.35
RF,2025-09-27T23:05:34.293784+00:00,Financial,Banks - Regional,USA,26.63,0.11,12.41,10.39,1.28,9.87,2.56,9.72,2.94,14.18,6.77,11.59,8.21,,27.49,20.58,0.28,0.27,0.15,,4.5,2.56,0.34,-1.11,81.49,-1.78,-1.95,-2.85,-1.16,1.24,13.1,49.87,27.96,-4.76,17.74,50.11
RSG,2025-09-27T23:05:34.293784+00:00,Industrials,Waste Management,USA,228.21,0.6,33.73,30.28,3.79,6.12,7.54,8.89,5.13,8.16,4.62,18.41,8.56,30.84,20.42,12.97,1.1,1.06,0.66,0.63,1.59,2.47,35.31,-0.0,59.76,-0.32,0.56,-2.85,-0.33,-2.17,-2.11,44.94,258.75,-11.8,197.6,15.49
RMD,2025-09-27T23:05:34.293784+00:00,Healthcare,Medical Instruments & Supplies,USA,270.27,1.11,28.43,22.42,2.55,14.39,12.05,11.14,9.84,30.37,10.2,25.86,20.66,58.48,32.79,27.22,0.14,0.14,3.44,2.53,5.94,8.73,0.63,-7.55,65.22,-1.53,-1.07,-4.15,-1.06,-2.57,9.15,44.17,293.81,-8.01,199.92,35.19
RHI,2025-09-27T23:05:34.293784+00:00,Industrials,Staffing & Employment Services,USA,34.02,1.58,19.43,15.5,2.38,-39.86,2.2,8.17,-6.95,-38.22,-6.98,12.75,11.98,36.76,2.97,3.2,0.19,0.13,1.55,1.55,12.84,6.46,3.31,0.0,104.21,4.34,-1.31,-7.65,-4.21,-6.97,-31.83,41.27,78.41,-56.61,33.18,2.53
ROK,2025-09-27T23:05:39.708970+00:00,Industrials,Specialty Industrial Machinery,USA,343.58,1.04,40.31,29.79,3.8,3.22,11.53,10.62,-8.23,28.68,4.58,28.46,15.1,39.41,17.19,11.98,1.12,0.85,1.06,0.72,2.12,2.66,0.22,-17.86,85.12,1.84,-1.22,-1.61,0.05,-0.58,13.67,49.58,360.92,-4.8,215.0,59.8
ROL,2025-09-27T23:05:39.708970+00:00,Consumer Cyclical,Personal Services,USA,58.43,3.53,57.85,46.96,4.51,14.94,1.24,12.84,10.38,9.28,12.06,36.52,22.04,49.35,19.2,13.7,0.67,0.54,0.65,0.6,2.85,5.15,40.09,-0.05,54.81,2.81,5.26,3.11,3.39,2.43,8.46,60.73,59.1,-1.13,45.34,28.87
ROP,2025-09-27T23:05:39.708970+00:00,Technology,Software - Application,USA,499.31,0.86,35.09,22.91,3.9,9.24,21.79,8.99,13.59,11.7,13.21,8.15,5.6,68.87,28.06,20.62,0.45,0.4,0.46,0.43,1.27,1.82,0.36,-0.67,94.41,0.29,-1.05,-5.55,-2.53,-5.63,-9.53,37.89,595.17,-16.11,492.25,1.43
ROST,2025-09-27T23:05:39.708970+00:00,Consumer Cyclical,Apparel Retail,USA,151.52,1.38,24.06,22.19,4.46,-1.75,6.83,5.4,1.92,-1.64,4.57,37.98,21.52,27.61,12.0,9.6,0.88,0.67,1.58,0.98,1.79,1.99,2.19,-0.92,91.96,-0.56,3.65,0.82,1.86,4.25,7.22,61.08,158.69,-4.52,122.36,23.83
RCL,2025-09-27T23:05:39.708970+00:00,Consumer Cyclical,Travel Services,USA,326.89,0.73,24.64,17.87,1.16,32.74,18.29,21.25,12.1,44.78,10.41,47.48,13.14,39.27,26.57,20.97,2.15,1.99,0.23,0.21,4.7,5.19,7.13,-0.3,84.26,3.99,-0.52,-8.96,-3.52,-2.21,22.24,44.29,366.5,-10.81,164.01,99.31
SPGI,2025-09-27T23:05:39.708970+00:00,Financial,Financial Data & Stock Exchanges,USA,487.18,0.46,37.45,25.28,3.37,9.72,19.27,11.1,10.72,8.49,5.8,11.76,8.86,61.63,40.34,27.3,0.36,0.36,0.98,0.98,1.1,2.7,0.18,-4.43,89.55,-0.03,-3.94,-11.4,-7.59,-9.66,-5.34,23.82,579.05,-15.87,427.14,14.06
CRM,2025-09-27T23:05:39.708970+00:00,Technology,Software - Application,USA,243.43,1.03,35.35,19.12,2.81,11.57,12.73,12.56,8.33,33.56,9.77,11.2,9.2,69.91,21.22,16.87,0.19,0.18,1.04,1.04,1.41,1.56,2.61,-0.72,82.44,-1.37,-1.48,-2.69,-1.37,-2.43,-13.72,46.46,369.0,-34.03,226.48,7.48
SBAC,2025-09-27T23:05:39.708970+00:00,Real Estate,REIT - Specialty,USA,194.22,-0.62,23.87,21.5,2.34,19.53,9.03,10.21,1.82,38.51,5.83,,12.92,66.78,57.06,32.25,,,0.37,0.37,1.91,1.95,1.27,-0.37,101.17,0.35,-2.45,-6.68,-1.69,-8.94,-10.81,33.99,252.64,-23.12,186.81,3.97
SLB,2025-09-27T23:05:39.708970+00:00,Energy,Oil & Gas Equipment & Services,USA,35.52,2.69,12.17,11.5,13.52,-15.13,3.09,0.9,0.94,-3.67,-6.61,19.78,13.12,18.85,15.79,11.53,0.67,0.54,1.31,0.98,2.76,2.53,0.21,-2.18,79.42,-2.58,3.17,-1.28,0.62,2.75,-3.85,55.22,46.15,-23.04,31.11,14.18
STX,2025-09-27T23:05:39.708970+00:00,Technology,Computer Hardware,USA,217.51,-1.06,32.11,16.95,1.48,29.08,12.83,21.67,38.86,-6.18,29.52,,30.23,35.18,21.05,16.15,,,1.38,0.84,7.97,4.46,0.46,-33.75,94.2,-0.05,-1.68,30.06,7.54,25.1,81.12,71.39,231.96,-6.23,63.19,244.22
SEE,2025-09-27T23:05:39.708970+00:00,Consumer Cyclical,Packaging & Containers,USA,34.42,3.36,16.87,10.31,3.39,1.11,3.34,4.98,-2.0,-4.6,-0.75,37.35,5.98,29.01,15.06,5.62,4.66,4.25,1.19,0.71,5.21,5.22,1.36,0.0,98.25,-0.58,0.94,6.93,3.28,8.46,8.6,63.69,38.85,-11.4,22.78,51.1
SRE,2025-09-27T23:05:39.708970+00:00,Utilities,Utilities - Diversified,USA,88.59,2.43,21.45,17.72,3.78,-2.84,5.0,5.67,0.46,-37.02,-0.07,8.87,4.01,27.87,22.46,20.23,1.22,1.1,0.48,0.41,1.85,3.11,0.11,-6.32,90.94,1.41,6.48,7.7,6.4,7.93,12.98,69.3,95.77,-7.5,61.9,43.12
NOW,2025-09-27T23:05:39.708970+00:00,Technology,Software - Application,USA,936.0,1.89,117.81,46.72,5.83,21.31,20.03,20.19,21.12,45.88,22.38,16.95,12.55,78.52,13.28,13.78,0.22,0.21,1.03,1.03,1.45,1.85,0.43,-2.99,89.32,-0.24,-2.62,5.41,0.5,1.7,-2.43,52.27,1198.09,-21.88,678.66,37.92
SHW,2025-09-27T23:05:39.708970+00:00,Basic Materials,Specialty Chemicals,USA,341.91,0.53,33.95,26.8,3.95,0.24,12.76,8.59,0.31,-14.21,0.69,62.43,17.44,48.87,16.33,11.03,3.09,2.32,0.78,0.48,1.86,2.3,7.16,-0.03,83.4,1.23,-1.41,-6.94,-4.01,-3.47,-2.43,37.06,400.42,-14.61,308.84,10.71
SPG,2025-09-27T23:05:39.708970+00:00,Real Estate,REIT - Retail,USA,185.39,1.52,26.24,27.33,,-10.51,6.78,-1.09,3.36,24.55,2.76,79.83,8.76,60.38,50.96,38.84,10.78,9.92,0.96,0.96,1.87,3.66,0.93,0.14,90.96,-2.46,2.58,4.05,2.01,6.36,9.82,64.79,190.13,-2.5,136.34,35.98
SWKS,2025-09-27T23:05:39.708970+00:00,Technology,Semiconductors,USA,79.51,0.19,31.68,18.72,,-11.19,4.25,-7.17,-8.24,-6.74,6.57,6.61,6.26,41.47,15.05,9.88,0.21,0.12,2.39,1.8,8.75,5.11,0.42,0.0,98.74,-3.01,0.71,4.34,4.2,7.41,7.79,59.77,101.5,-21.67,47.93,65.89
SLG,2025-09-27T23:05:39.708970+00:00,Real Estate,REIT - Office,USA,59.37,-0.55,,,,-1243.57,-0.97,,15.25,-309.18,5.73,-0.37,-0.39,38.54,37.25,-3.88,1.54,1.42,0.97,0.97,9.58,6.6,6.46,-0.07,84.54,3.29,-3.71,4.38,-2.95,1.69,-2.11,46.88,82.81,-28.31,45.15,31.5
SNA,2025-09-27T23:05:39.708970+00:00,Industrials,Tools & Accessories,USA,341.91,1.46,18.22,16.91,4.46,-3.86,20.22,4.09,-0.76,-6.86,0.09,18.18,14.35,51.96,25.57,19.72,0.23,0.22,4.48,3.42,4.84,7.95,2.22,-6.49,95.91,0.78,1.38,3.54,2.9,4.07,3.72,61.12,373.89,-8.55,284.38,20.23
SO,2025-09-27T23:05:39.708970+00:00,Utilities,Utilities - Regulated Electric,USA,94.53,0.9,24.41,20.6,3.61,5.47,4.59,6.76,8.53,-27.24,7.89,12.89,4.36,30.62,24.96,15.1,2.08,1.89,0.74,0.53,3.0,6.7,0.12,-2.97,70.79,2.88,2.97,1.34,2.48,1.03,5.77,61.56,96.44,-1.98,80.46,17.49
LUV,2025-09-27T23:05:39.708970+00:00,Industrials,Airlines,USA,32.53,1.88,48.92,13.87,0.96,-5.44,2.35,50.76,1.64,-31.03,-1.5,4.3,3.05,17.73,2.3,1.45,0.67,0.62,0.56,0.49,7.38,3.72,1.11,0.45,95.26,-6.7,0.03,-1.99,1.62,1.57,2.77,53.17,37.96,-14.3,23.82,36.59
